state_forest,site_id,latitude,longitude,baetidae,callibaetis,procloeon,epiaeschna_heros,pachydiplax_longipennis,coenagrion_enallagma,lestes,monchlonyx,chironomidae,aedes,culex,tabanidae,tipuloidea,dytiscidae,agabini,acilius,agabetes,copelatus,coptotomus,dytiscus,heterosternuta,hydaticus,laccophilus,liodessus,neoporus,uvarus,berosus,enochrus,hydrochara,tropisternus,cyphon,hydrochus,gerris,notonectidae,notonecta,corixidae,chauliodes,sialis,limnephilus,agrypnia,collembola,oligochaeta,physidae,planorbidae
state_game_land,GWP_PL_07,40.7975239,-77.9629319,0,0,0,0,0,0,5,0,9,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
state_game_land,GWP_PL_08,40.7952654,-77.9659541,0,0,0,1,1,0,45,19,131,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,2,0,3,0,0,0,2,0,0,12,0,0
state_game_land,SC_SSR_03,40.8015901,-77.9448387,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
state_game_land,SC_SSR_04,40.8006924,-77.9449273,0,0,1,1,0,5,0,57,40,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,7,0,1,0,0,0,0,3,3,0,19,41,0,0,0,0,0,3,1,4
state_game_land,SGL_MHS_01,40.7868525,-77.9987116,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
state_game_land,SGL_MHS_02,40.7872952,-77.9995742,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tuscarora,TUSC_2NR_03,40.2240.17,-77.5953934,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,27,0,0
tuscarora,TUSC_2NR_04,40.2240311,.77.5949513,0,0,0,0,0,0,0,0,28,73,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0
tuscarora,TUSC_2NR_07,40.2248083,-77.5928399,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,21,0,0
tuscarora,TUSC_2NR_08,40.225497,-77.5925425,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0
tuscarora,TUSC_HR_01,40.2379115,-77.6350071,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
tuscarora,TUSC_HR_02,40.2398752,-77.6321432,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tuscarora,TUSC_HR_03,40.2416319,-77.6303301,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tuscarora,TUSC_HR_04,40.2423057,-77.6303301,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
tuscarora,TUSC_HR_05,40.2423423,-77.629843,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
tuscarora,TUSC_HR_06,40.2427708,-77.6285368,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tuscarora,TUSC_WLCK_03,40.4314016,-77.7101346,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0
tuscarora,TUSC_WLCK_04,40.4320075,-77.7092251,0,0,0,0,0,0,0,0,66,30,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tuscarora,TUSC_WLCK_06,40.4373231,-77.7051098,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0
